round,region,winner_seed,winner_team,winner_score,loser_seed,loser,loser_score,score_diff,year
Round of 64,West,8,Ohio State,84,9,Providence,83,1,1990
Round of 64,West,12,Ball State,54,5,Oregon State,53,1,1990
Round of 64,East,2,Kansas,79,15,Robert Morris,71,8,1990
Round of 64,East,3,Duke,81,14,Richmond,46,35,1990
Round of 64,East,6,"St. John's, New York",81,11,Temple,65,16,1990
Round of 64,East,7,UCLA,68,10,UAB,56,12,1990
Round of 64,Midwest,2,Purdue,75,15,Louisiana-Monroe,63,12,1990
Round of 64,Midwest,3,Georgetown,70,14,Texas Southern,52,18,1990
Round of 64,Midwest,6,"Xavier, Ohio",87,11,Kansas State,79,8,1990
Round of 64,Midwest,10,Texas,100,7,Georgia,88,12,1990
Round of 64,Southeast,2,Syracuse,70,15,Coppin State,48,22,1990
Round of 64,Southeast,6,Minnesota,64,11,Texas-El Paso,61,3,1990
Round of 64,Southeast,7,Virginia,75,10,Notre Dame,67,8,1990
Round of 64,Southeast,14,Northern Iowa,74,3,Missouri,71,3,1990
Round of 64,West,2,Arizona,79,15,South Florida,67,12,1990
Round of 64,West,3,Michigan,76,14,Illinois State,70,6,1990
Round of 64,West,7,Alabama,71,10,Colorado State,54,17,1990
Round of 64,West,11,Loyola Marymount,111,6,New Mexico State,92,19,1990
Round of 32,East,1,Connecticut,74,9,California,54,20,1990
Round of 32,East,5,Clemson,79,4,La Salle,75,4,1990
Round of 32,Midwest,4,Arkansas,86,12,Dayton,84,2,1990
Round of 32,Midwest,8,North Carolina,79,1,Oklahoma,77,2,1990
Round of 32,Southeast,1,Michigan State,62,9,California-Santa Barbara,58,4,1990
Round of 32,Southeast,4,Georgia Tech,94,5,Louisiana State,91,3,1990
Round of 32,West,1,Nevada-Las Vegas,76,8,Ohio State,65,11,1990
Round of 32,West,12,Ball State,62,4,Louisville,60,2,1990
Round of 32,East,3,Duke,76,6,"St. John's, New York",72,4,1990
Round of 32,East,7,UCLA,71,2,Kansas,70,1,1990
Round of 32,Midwest,6,"Xavier, Ohio",74,3,Georgetown,71,3,1990
Round of 32,Midwest,10,Texas,73,2,Purdue,72,1,1990
Round of 32,Southeast,2,Syracuse,63,7,Virginia,61,2,1990
Round of 32,Southeast,6,Minnesota,81,14,Northern Iowa,78,3,1990
Round of 32,West,7,Alabama,77,2,Arizona,55,22,1990
Round of 32,West,11,Loyola Marymount,149,3,Michigan,115,34,1990
Sweet Sixteen,East,1,Connecticut,71,5,Clemson,70,1,1990
Sweet Sixteen,East,3,Duke,90,7,UCLA,81,9,1990
Sweet Sixteen,Midwest,4,Arkansas,96,8,North Carolina,73,23,1990
Sweet Sixteen,Midwest,10,Texas,102,6,"Xavier, Ohio",89,13,1990
Sweet Sixteen,Southeast,4,Georgia Tech,81,1,Michigan State,80,1,1990
Sweet Sixteen,Southeast,6,Minnesota,82,2,Syracuse,75,7,1990
Sweet Sixteen,West,1,Nevada-Las Vegas,69,12,Ball State,67,2,1990
Sweet Sixteen,West,11,Loyola Marymount,62,7,Alabama,60,2,1990
Elite Eight,East,3,Duke,79,1,Connecticut,78,1,1990
Elite Eight,Midwest,4,Arkansas,88,10,Texas,85,3,1990
Elite Eight,Southeast,4,Georgia Tech,93,6,Minnesota,91,2,1990
Elite Eight,West,1,Nevada-Las Vegas,131,11,Loyola Marymount,101,30,1990
National Semifinals,National Semifinals,1,Nevada-Las Vegas,90,4,Georgia Tech,81,9,1990
National Semifinals,National Semifinals,3,Duke,97,4,Arkansas,83,14,1990
National Championship,National Championship,1,Nevada-Las Vegas,103,3,Duke,73,30,1990
Round of 64,East,3,Oklahoma State,67,14,New Mexico,54,13,1991
Round of 64,East,6,North Carolina State,114,11,Southern Mississippi,85,29,1991
Round of 64,East,10,Temple,80,7,Purdue,63,17,1991
Round of 64,East,15,Richmond,73,2,Syracuse,69,4,1991
Round of 64,Midwest,2,Duke,102,15,Louisiana-Monroe,73,29,1991
Round of 64,Midwest,7,Iowa,76,10,East Tennessee State,73,3,1991
Round of 64,Midwest,11,Connecticut,79,6,Louisiana State,62,17,1991
Round of 64,Midwest,14,"Xavier, Ohio",89,3,Nebraska,84,5,1991
Round of 64,Southeast,2,Indiana,79,15,Coastal Carolina,69,10,1991
Round of 64,Southeast,3,Kansas,55,14,New Orleans,49,6,1991
Round of 64,Southeast,6,Pittsburgh,76,11,Georgia,68,8,1991
Round of 64,Southeast,7,Florida State,75,10,Southern California,72,3,1991
Round of 64,West,2,Arizona,93,15,"St. Francis, Pennsylvania",80,13,1991
Round of 64,West,3,Seton Hall,71,14,Pepperdine,51,20,1991
Round of 64,West,10,Brigham Young,61,7,Virginia,48,13,1991
Round of 64,West,11,Creighton,64,6,New Mexico State,56,8,1991
Round of 64,East,1,North Carolina,101,16,Northeastern,66,35,1991
Round of 64,East,9,Villanova,50,8,Princeton,48,2,1991
Round of 64,East,12,Eastern Michigan,76,5,Mississippi State,56,20,1991
Round of 64,East,13,Pennsylvania State,74,4,UCLA,69,5,1991
Round of 64,Midwest,1,Ohio State,97,16,Towson,86,11,1991
Round of 64,Midwest,4,"St. John's, New York",75,13,Northern Illinois,68,7,1991
Round of 64,Midwest,5,Texas,73,12,St. Peter's,65,8,1991
Round of 64,Midwest,8,Georgia Tech,87,9,DePaul,70,17,1991
Round of 64,Southeast,1,Arkansas,117,16,Georgia State,76,41,1991
Round of 64,Southeast,4,Alabama,89,13,Murray State,79,10,1991
Round of 64,Southeast,5,Wake Forest,71,12,Louisiana Tech,65,6,1991
Round of 64,Southeast,8,Arizona State,79,9,Rutgers,76,3,1991
Round of 64,West,1,Nevada-Las Vegas,99,16,Montana,65,34,1991
Round of 64,West,4,Utah,82,13,South Alabama,72,10,1991
Round of 64,West,5,Michigan State,60,12,Green Bay,58,2,1991
Round of 64,West,8,Georgetown,70,9,Vanderbilt,60,10,1991
Round of 32,East,3,Oklahoma State,73,6,North Carolina State,64,9,1991
Round of 32,East,10,Temple,77,15,Richmond,64,13,1991
Round of 32,Midwest,2,Duke,85,7,Iowa,70,15,1991
Round of 32,Midwest,11,Connecticut,66,14,"Xavier, Ohio",50,16,1991
Round of 32,Southeast,2,Indiana,82,7,Florida State,60,22,1991
Round of 32,Southeast,3,Kansas,77,6,Pittsburgh,66,11,1991
Round of 32,West,2,Arizona,76,10,Brigham Young,61,15,1991
Round of 32,West,3,Seton Hall,81,11,Creighton,69,12,1991
Round of 32,East,1,North Carolina,84,9,Villanova,69,15,1991
Round of 32,East,12,Eastern Michigan,71,13,Pennsylvania State,68,3,1991
Round of 32,Midwest,1,Ohio State,65,8,Georgia Tech,61,4,1991
Round of 32,Midwest,4,"St. John's, New York",84,5,Texas,76,8,1991
Round of 32,Southeast,1,Arkansas,97,8,Arizona State,90,7,1991
Round of 32,Southeast,4,Alabama,96,5,Wake Forest,88,8,1991
Round of 32,West,1,Nevada-Las Vegas,62,8,Georgetown,54,8,1991
Round of 32,West,4,Utah,85,5,Michigan State,84,1,1991
Sweet Sixteen,Southeast,1,Arkansas,93,4,Alabama,70,23,1991
Sweet Sixteen,Southeast,3,Kansas,83,2,Indiana,65,18,1991
Sweet Sixteen,West,1,Nevada-Las Vegas,83,4,Utah,66,17,1991
Sweet Sixteen,West,3,Seton Hall,81,2,Arizona,77,4,1991
Sweet Sixteen,East,1,North Carolina,93,12,Eastern Michigan,67,26,1991
Sweet Sixteen,East,10,Temple,72,3,Oklahoma State,63,9,1991
