round,region,winner_seed,winner_team,winner_score,loser_seed,loser,loser_score,score_diff,year
Round of 64,West,6,Texas Tech,78,11,UCLA,66,12,2005
Round of 64,West,7,West Virginia,63,10,Creighton,61,2,2005
Round of 64,West,8,"Pacific, California",79,9,Pittsburgh,71,8,2005
Round of 64,East,1,North Carolina,96,16,Oakland,68,28,2005
Round of 64,East,2,Connecticut,77,15,Central Florida,71,6,2005
Round of 64,East,4,Florida,67,13,Ohio,62,5,2005
Round of 64,East,5,Villanova,55,12,New Mexico,47,8,2005
Round of 64,East,6,Wisconsin,57,11,Northern Iowa,52,5,2005
Round of 64,East,9,Iowa State,64,8,Minnesota,53,11,2005
Round of 64,East,10,North Carolina State,75,7,Charlotte,63,12,2005
Round of 64,East,14,Bucknell,64,3,Kansas,63,1,2005
Round of 64,Midwest,2,Oklahoma State,63,15,Southeastern Louisiana,50,13,2005
Round of 64,Midwest,7,Southern Illinois,65,10,"St. Mary's, California",56,9,2005
Round of 64,South,1,Duke,57,16,Delaware State,46,11,2005
Round of 64,South,5,Michigan State,89,12,Old Dominion,81,8,2005
Round of 64,South,9,Mississippi State,93,8,Stanford,70,23,2005
Round of 64,South,13,Vermont,60,4,Syracuse,57,3,2005
Round of 64,West,4,Louisville,68,13,Louisiana-Lafayette,62,6,2005
Round of 64,West,5,Georgia Tech,80,12,George Washington,68,12,2005
Round of 32,Midwest,1,Illinois,71,9,Nevada,59,12,2005
Round of 32,Midwest,3,Arizona,85,11,UAB,63,22,2005
Round of 32,Midwest,12,Milwaukee,83,4,Boston College,75,8,2005
Round of 32,South,2,Kentucky,69,7,Cincinnati,60,9,2005
Round of 32,South,6,Utah,67,3,Oklahoma,58,9,2005
Round of 32,West,1,Washington,97,8,"Pacific, California",79,18,2005
Round of 32,West,6,Texas Tech,71,3,Gonzaga,69,2,2005
Round of 32,West,7,West Virginia,111,2,Wake Forest,105,6,2005
Round of 32,East,1,North Carolina,92,9,Iowa State,65,27,2005
Round of 32,East,5,Villanova,76,4,Florida,65,11,2005
Round of 32,East,6,Wisconsin,71,14,Bucknell,62,9,2005
Round of 32,East,10,North Carolina State,65,2,Connecticut,62,3,2005
Round of 32,Midwest,2,Oklahoma State,85,7,Southern Illinois,77,8,2005
Round of 32,South,1,Duke,63,9,Mississippi State,55,8,2005
Round of 32,South,5,Michigan State,72,13,Vermont,61,11,2005
Round of 32,West,4,Louisville,76,5,Georgia Tech,54,22,2005
Sweet Sixteen,Midwest,1,Illinois,77,12,Milwaukee,63,14,2005
Sweet Sixteen,Midwest,3,Arizona,79,2,Oklahoma State,78,1,2005
Sweet Sixteen,West,4,Louisville,93,1,Washington,79,14,2005
Sweet Sixteen,West,7,West Virginia,65,6,Texas Tech,60,5,2005
Sweet Sixteen,East,1,North Carolina,67,5,Villanova,66,1,2005
Sweet Sixteen,East,6,Wisconsin,65,10,North Carolina State,56,9,2005
Sweet Sixteen,South,2,Kentucky,62,6,Utah,52,10,2005
Sweet Sixteen,South,5,Michigan State,78,1,Duke,68,10,2005
Elite Eight,Midwest,1,Illinois,90,3,Arizona,89,1,2005
Elite Eight,West,4,Louisville,93,7,West Virginia,85,8,2005
Elite Eight,East,1,North Carolina,88,6,Wisconsin,82,6,2005
Elite Eight,South,5,Michigan State,94,2,Kentucky,88,6,2005
National Semifinals,National Semifinals,1,North Carolina,87,5,Michigan State,71,16,2005
National Semifinals,National Semifinals,1,Illinois,72,4,Louisville,57,15,2005
National Championship,National Championship,1,North Carolina,75,1,Illinois,70,5,2005
Opening Round,Midwest,16,"Monmouth, New Jersey",71,16,Hampton,49,22,2006
Round of 64,East,2,Tennessee,63,15,Winthrop,61,2,2006
Round of 64,East,4,Illinois,78,13,Air Force,69,9,2006
Round of 64,East,5,Washington,75,12,Utah State,61,14,2006
Round of 64,East,7,Wichita State,86,10,Seton Hall,66,20,2006
Round of 64,Midwest,3,Florida,76,14,South Alabama,50,26,2006
Round of 64,Midwest,4,Boston College,88,13,"Pacific, California",76,12,2006
Round of 64,Midwest,11,Milwaukee,82,6,Oklahoma,74,8,2006
Round of 64,Midwest,12,Montana,87,5,Nevada,79,8,2006
Round of 64,South,1,Duke,70,16,Southern,54,16,2006
Round of 64,South,4,Louisiana State,80,13,Iona,64,16,2006
Round of 64,South,8,George Washington,88,9,North Carolina-Wilmington,85,3,2006
Round of 64,South,12,Texas A&M,66,5,Syracuse,58,8,2006
Round of 64,West,2,UCLA,78,15,Belmont,44,34,2006
Round of 64,West,3,Gonzaga,79,14,"Xavier, Ohio",75,4,2006
Round of 64,West,6,Indiana,87,11,San Diego State,83,4,2006
Round of 64,West,10,Alabama,90,7,Marquette,85,5,2006
Round of 64,East,1,Connecticut,72,16,Albany,59,13,2006
Round of 64,East,3,North Carolina,69,14,Murray State,65,4,2006
Round of 64,East,8,Kentucky,69,9,UAB,64,5,2006
Round of 64,East,11,George Mason,75,6,Michigan State,65,10,2006
Round of 64,Midwest,1,Villanova,58,16,"Monmouth, New Jersey",45,13,2006
Round of 64,Midwest,2,Ohio State,70,15,Davidson,62,8,2006
Round of 64,Midwest,7,Georgetown,54,10,Northern Iowa,49,5,2006
Round of 64,Midwest,8,Arizona,94,9,Wisconsin,75,19,2006
Round of 64,South,2,Texas,60,15,Pennsylvania,52,8,2006
Round of 64,South,6,West Virginia,64,11,Southern Illinois,46,18,2006
Round of 64,South,10,North Carolina State,58,7,California,52,6,2006
Round of 64,South,14,Northwestern State,64,3,Iowa,63,1,2006
Round of 64,West,1,Memphis,94,16,Oral Roberts,78,16,2006
Round of 64,West,5,Pittsburgh,79,12,Kent State,64,15,2006
Round of 64,West,9,Bucknell,59,8,Arkansas,55,4,2006
Round of 64,West,13,Bradley,77,4,Kansas,73,4,2006
Round of 32,East,5,Washington,67,4,Illinois,64,3,2006
Round of 32,East,7,Wichita State,80,2,Tennessee,73,7,2006
Round of 32,Midwest,3,Florida,82,11,Milwaukee,60,22,2006
Round of 32,Midwest,4,Boston College,69,12,Montana,56,13,2006
Round of 32,South,1,Duke,74,8,George Washington,61,13,2006
Round of 32,South,4,Louisiana State,58,12,Texas A&M,57,1,2006
Round of 32,West,2,UCLA,62,10,Alabama,59,3,2006
Round of 32,West,3,Gonzaga,90,6,Indiana,80,10,2006
Round of 32,East,1,Connecticut,87,8,Kentucky,83,4,2006
Round of 32,East,11,George Mason,65,3,North Carolina,60,5,2006
Round of 32,Midwest,1,Villanova,82,8,Arizona,78,4,2006
Round of 32,Midwest,7,Georgetown,70,2,Ohio State,52,18,2006
Round of 32,South,2,Texas,75,10,North Carolina State,54,21,2006
Round of 32,South,6,West Virginia,67,14,Northwestern State,54,13,2006
Round of 32,West,1,Memphis,72,9,Bucknell,56,16,2006
Round of 32,West,13,Bradley,72,5,Pittsburgh,66,6,2006
Sweet Sixteen,South,2,Texas,74,6,West Virginia,71,3,2006
Sweet Sixteen,South,4,Louisiana State,62,1,Duke,54,8,2006
Sweet Sixteen,West,1,Memphis,80,13,Bradley,64,16,2006
Sweet Sixteen,West,2,UCLA,73,3,Gonzaga,71,2,2006
Sweet Sixteen,East,1,Connecticut,98,5,Washington,92,6,2006
Sweet Sixteen,East,11,George Mason,63,7,Wichita State,55,8,2006
Sweet Sixteen,Midwest,1,Villanova,60,4,Boston College,59,1,2006
Sweet Sixteen,Midwest,3,Florida,57,7,Georgetown,53,4,2006
Elite Eight,South,4,Louisiana State,70,2,Texas,60,10,2006
Elite Eight,West,2,UCLA,50,1,Memphis,45,5,2006
Elite Eight,East,11,George Mason,86,1,Connecticut,84,2,2006
Elite Eight,Midwest,3,Florida,75,1,Villanova,62,13,2006
National Semifinals,National Semifinals,2,UCLA,59,4,Louisiana State,45,14,2006
National Semifinals,National Semifinals,3,Florida,73,11,George Mason,58,15,2006
National Championship,National Championship,3,Florida,73,2,UCLA,57,16,2006
Opening Round,West,16,Niagara,77,16,Florida A&M,69,8,2007
Round of 64,East,1,North Carolina,86,16,Eastern Kentucky,65,21,2007
Round of 64,East,2,Georgetown,80,15,Belmont,55,25,2007
Round of 64,East,3,Washington State,70,14,Oral Roberts,54,16,2007
Round of 64,East,6,Vanderbilt,77,11,George Washington,44,33,2007
Round of 64,East,7,Boston College,84,10,Texas Tech,75,9,2007
Round of 64,East,9,Michigan State,61,8,Marquette,49,12,2007
Round of 64,Midwest,4,Maryland,82,13,Davidson,70,12,2007
Round of 64,Midwest,5,Butler,57,12,Old Dominion,46,11,2007
Round of 64,South,1,Ohio State,78,16,Central Connecticut State,57,21,2007
Round of 64,South,3,Texas A&M,68,14,Pennsylvania,52,16,2007
Round of 64,South,6,Louisville,78,11,Stanford,58,20,2007
Round of 64,South,9,"Xavier, Ohio",79,8,Brigham Young,77,2,2007
Round of 64,West,2,UCLA,70,15,Weber State,42,28,2007
Round of 64,West,3,Pittsburgh,79,14,Wright State,58,21,2007
Round of 64,West,7,Indiana,70,10,Gonzaga,57,13,2007
Round of 64,West,11,Virginia Commonwealth,79,6,Duke,77,2,2007
Round of 64,East,4,Texas,79,13,New Mexico State,67,12,2007
Round of 64,East,5,Southern California,77,12,Arkansas,60,17,2007
Round of 64,Midwest,1,Florida,112,16,Jackson State,69,43,2007
Round of 64,Midwest,2,Wisconsin,76,15,Texas A&M-Corpus Christi,63,13,2007
Round of 64,Midwest,3,Oregon,58,14,"Miami, Ohio",56,2,2007
Round of 64,Midwest,7,Nevada-Las Vegas,67,10,Georgia Tech,63,4,2007
Round of 64,Midwest,9,Purdue,72,8,Arizona,63,9,2007
Round of 64,Midwest,11,Winthrop,74,6,Notre Dame,64,10,2007
Round of 64,South,2,Memphis,73,15,North Texas,58,15,2007
Round of 64,South,4,Virginia,84,13,Albany,57,27,2007
Round of 64,South,5,Tennessee,121,12,Long Beach State,86,35,2007
Round of 64,South,7,Nevada,77,10,Creighton,71,6,2007
Round of 64,West,1,Kansas,107,16,Niagara,67,40,2007
Round of 64,West,4,Southern Illinois,61,13,Holy Cross,51,10,2007
Round of 64,West,5,Virginia Tech,54,12,Illinois,52,2,2007
Round of 64,West,8,Kentucky,67,9,Villanova,58,9,2007
Round of 32,East,1,North Carolina,81,9,Michigan State,67,14,2007
Round of 32,East,2,Georgetown,62,7,Boston College,55,7,2007
Round of 32,East,6,Vanderbilt,78,3,Washington State,74,4,2007
Round of 32,Midwest,5,Butler,62,4,Maryland,59,3,2007
Round of 32,South,1,Ohio State,78,9,"Xavier, Ohio",71,7,2007
Round of 32,South,3,Texas A&M,72,6,Louisville,69,3,2007
Round of 32,West,2,UCLA,54,7,Indiana,49,5,2007
Round of 32,West,3,Pittsburgh,84,11,Virginia Commonwealth,79,5,2007
Round of 32,East,5,Southern California,87,4,Texas,68,19,2007
Round of 32,Midwest,1,Florida,74,9,Purdue,67,7,2007
Round of 32,Midwest,3,Oregon,75,11,Winthrop,61,14,2007
Round of 32,Midwest,7,Nevada-Las Vegas,74,2,Wisconsin,68,6,2007
Round of 32,South,2,Memphis,78,7,Nevada,62,16,2007
Round of 32,South,5,Tennessee,77,4,Virginia,74,3,2007
Round of 32,West,1,Kansas,88,8,Kentucky,76,12,2007
Round of 32,West,4,Southern Illinois,63,5,Virginia Tech,48,15,2007
Sweet Sixteen,South,1,Ohio State,85,5,Tennessee,84,1,2007
Sweet Sixteen,South,2,Memphis,65,3,Texas A&M,64,1,2007
Sweet Sixteen,West,1,Kansas,61,4,Southern Illinois,58,3,2007
Sweet Sixteen,West,2,UCLA,64,3,Pittsburgh,55,9,2007
Sweet Sixteen,East,1,North Carolina,74,5,Southern California,64,10,2007
Sweet Sixteen,East,2,Georgetown,66,6,Vanderbilt,65,1,2007
Sweet Sixteen,Midwest,1,Florida,65,5,Butler,57,8,2007
Sweet Sixteen,Midwest,3,Oregon,76,7,Nevada-Las Vegas,72,4,2007
Elite Eight,South,1,Ohio State,92,2,Memphis,76,16,2007
Elite Eight,West,2,UCLA,68,1,Kansas,55,13,2007
Elite Eight,East,2,Georgetown,96,1,North Carolina,84,12,2007
Elite Eight,Midwest,1,Florida,85,3,Oregon,77,8,2007
National Semifinals,National Semifinals,1,Florida,76,2,UCLA,66,10,2007
National Semifinals,National Semifinals,1,Ohio State,67,2,Georgetown,60,7,2007
National Championship,National Championship,1,Florida,84,1,Ohio State,75,9,2007
Opening Round,East,16,"Mt. St. Mary's, Maryland",69,16,Coppin State,60,9,2008
Round of 64,East,4,Washington State,71,13,Winthrop,40,31,2008
Round of 64,East,5,Notre Dame,68,12,George Mason,50,18,2008
Round of 64,Midwest,1,Kansas,85,16,Portland State,61,24,2008
Round of 64,Midwest,3,Wisconsin,71,14,California State-Fullerton,56,15,2008
Round of 64,Midwest,8,Nevada-Las Vegas,71,9,Kent State,58,13,2008
Round of 64,Midwest,11,Kansas State,80,6,Southern California,67,13,2008
Round of 64,South,3,Stanford,77,14,Cornell,53,24,2008
Round of 64,South,4,Pittsburgh,82,13,Oral Roberts,63,19,2008
Round of 64,South,5,Michigan State,72,12,Temple,61,11,2008
Round of 64,South,6,Marquette,74,11,Kentucky,66,8,2008
Round of 64,West,1,UCLA,70,16,Mississippi Valley,29,41,2008
Round of 64,West,2,Duke,71,15,Belmont,70,1,2008
Round of 64,West,3,"Xavier, Ohio",73,14,Georgia,61,12,2008
Round of 64,West,6,Purdue,90,11,Baylor,79,11,2008
Round of 64,West,7,West Virginia,75,10,Arizona,65,10,2008
Round of 64,West,9,Texas A&M,67,8,Brigham Young,62,5,2008
Round of 64,East,1,North Carolina,113,16,"Mt. St. Mary's, Maryland",74,39,2008
Round of 64,East,2,Tennessee,72,15,American,57,15,2008
Round of 64,East,3,Louisville,79,14,Boise State,61,18,2008
Round of 64,East,6,Oklahoma,72,11,"St. Joseph's, Pennsylvania",64,8,2008
Round of 64,East,7,Butler,81,10,South Alabama,61,20,2008
Round of 64,East,9,Arkansas,86,8,Indiana,72,14,2008
Round of 64,Midwest,2,Georgetown,66,15,UMBC,47,19,2008
Round of 64,Midwest,10,Davidson,82,7,Gonzaga,76,6,2008
Round of 64,Midwest,12,Villanova,75,5,Clemson,69,6,2008
Round of 64,Midwest,13,Siena,83,4,Vanderbilt,62,21,2008
Round of 64,South,1,Memphis,87,16,Texas-Arlington,63,24,2008
Round of 64,South,2,Texas,74,15,Austin Peay,54,20,2008
Round of 64,South,7,"Miami, Florida",78,10,"St. Mary's, California",64,14,2008
Round of 64,South,8,Mississippi State,76,9,Oregon,69,7,2008
Round of 64,West,12,Western Kentucky,101,5,Drake,99,2,2008
Round of 64,West,13,San Diego,70,4,Connecticut,69,1,2008
Round of 32,East,4,Washington State,61,5,Notre Dame,41,20,2008
Round of 32,Midwest,1,Kansas,75,8,Nevada-Las Vegas,56,19,2008
Round of 32,Midwest,3,Wisconsin,72,11,Kansas State,55,17,2008
Round of 32,South,3,Stanford,82,6,Marquette,81,1,2008
Round of 32,South,5,Michigan State,65,4,Pittsburgh,54,11,2008
Round of 32,West,1,UCLA,53,9,Texas A&M,49,4,2008
Round of 32,West,3,"Xavier, Ohio",85,6,Purdue,78,7,2008
Round of 32,West,7,West Virginia,73,2,Duke,67,6,2008
Round of 32,East,1,North Carolina,108,9,Arkansas,77,31,2008
Round of 32,East,2,Tennessee,76,7,Butler,71,5,2008
Round of 32,East,3,Louisville,78,6,Oklahoma,48,30,2008
Round of 32,Midwest,10,Davidson,74,2,Georgetown,70,4,2008
Round of 32,Midwest,12,Villanova,84,13,Siena,72,12,2008
Round of 32,South,1,Memphis,77,8,Mississippi State,74,3,2008
Round of 32,South,2,Texas,75,7,"Miami, Florida",72,3,2008
Round of 32,West,12,Western Kentucky,72,13,San Diego,63,9,2008
Sweet Sixteen,East,1,North Carolina,68,4,Washington State,47,21,2008
Sweet Sixteen,East,3,Louisville,79,2,Tennessee,60,19,2008
Sweet Sixteen,West,1,UCLA,88,12,Western Kentucky,78,10,2008
Sweet Sixteen,West,3,"Xavier, Ohio",79,7,West Virginia,75,4,2008
Sweet Sixteen,Midwest,1,Kansas,72,12,Villanova,57,15,2008
Sweet Sixteen,Midwest,10,Davidson,73,3,Wisconsin,56,17,2008
Sweet Sixteen,South,1,Memphis,92,5,Michigan State,74,18,2008
Sweet Sixteen,South,2,Texas,82,3,Stanford,62,20,2008
Elite Eight,East,1,North Carolina,83,3,Louisville,73,10,2008
Elite Eight,West,1,UCLA,76,3,"Xavier, Ohio",57,19,2008
Elite Eight,Midwest,1,Kansas,59,10,Davidson,57,2,2008
Elite Eight,South,1,Memphis,85,2,Texas,67,18,2008
National Semifinals,National Semifinals,1,Kansas,84,1,North Carolina,66,18,2008
National Semifinals,National Semifinals,1,Memphis,78,1,UCLA,63,15,2008
National Championship,National Championship,1,Kansas,75,1,Memphis,68,7,2008
Opening Round,Midwest,16,Morehead State,58,16,Alabama State,43,15,2009
Round of 64,East,2,Duke,86,15,Binghamton,62,24,2009
Round of 64,East,3,Villanova,80,14,American,67,13,2009
Round of 64,East,6,UCLA,65,11,Virginia Commonwealth,64,1,2009
Round of 64,East,7,Texas,76,10,Minnesota,62,14,2009
Round of 64,South,1,North Carolina,101,16,Radford,58,43,2009
Round of 64,South,2,Oklahoma,82,15,Morgan State,54,28,2009
Round of 64,South,4,Gonzaga,77,13,Akron,64,13,2009
Round of 64,South,8,Louisiana State,75,9,Butler,71,4,2009
Round of 64,South,10,Michigan,62,7,Clemson,59,3,2009
Round of 64,South,12,Western Kentucky,76,5,Illinois,72,4,2009
Round of 64,West,1,Connecticut,103,16,Chattanooga,47,56,2009
Round of 64,West,2,Memphis,81,15,California State-Northridge,70,11,2009
Round of 64,West,4,Washington,71,13,Mississippi State,58,13,2009
Round of 64,West,5,Purdue,61,12,Northern Iowa,56,5,2009
Round of 64,West,9,Texas A&M,79,8,Brigham Young,66,13,2009
Round of 64,West,10,Maryland,84,7,California,71,13,2009
Round of 64,East,1,Pittsburgh,72,16,East Tennessee State,62,10,2009
Round of 64,East,4,"Xavier, Ohio",77,13,Portland State,59,18,2009
Round of 64,East,8,Oklahoma State,77,9,Tennessee,75,2,2009
Round of 64,East,12,Wisconsin,61,5,Florida State,59,2,2009
Round of 64,Midwest,1,Louisville,74,16,Morehead State,54,20,2009
Round of 64,Midwest,2,Michigan State,77,15,Robert Morris,62,15,2009
Round of 64,Midwest,3,Kansas,84,14,North Dakota State,74,10,2009
Round of 64,Midwest,9,Siena,74,8,Ohio State,72,2,2009
Round of 64,Midwest,10,Southern California,72,7,Boston College,55,17,2009
Round of 64,Midwest,11,Dayton,68,6,West Virginia,60,8,2009
Round of 64,Midwest,12,Arizona,84,5,Utah,71,13,2009
Round of 64,Midwest,13,Cleveland State,84,4,Wake Forest,69,15,2009
Round of 64,South,3,Syracuse,59,14,Stephen F. Austin,44,15,2009
Round of 64,South,6,Arizona State,66,11,Temple,57,9,2009
Round of 64,West,3,Missouri,78,14,Cornell,59,19,2009
Round of 64,West,6,Marquette,58,11,Utah State,57,1,2009
Round of 32,East,2,Duke,74,7,Texas,69,5,2009
Round of 32,East,3,Villanova,89,6,UCLA,69,20,2009
Round of 32,South,1,North Carolina,84,8,Louisiana State,70,14,2009
Round of 32,South,2,Oklahoma,73,10,Michigan,63,10,2009
Round of 32,South,4,Gonzaga,83,12,Western Kentucky,81,2,2009
Round of 32,West,1,Connecticut,92,9,Texas A&M,66,26,2009
Round of 32,West,2,Memphis,89,10,Maryland,70,19,2009
Round of 32,West,5,Purdue,76,4,Washington,74,2,2009
Round of 32,East,1,Pittsburgh,84,8,Oklahoma State,76,8,2009
Round of 32,East,4,"Xavier, Ohio",60,12,Wisconsin,49,11,2009
Round of 32,Midwest,1,Louisville,79,9,Siena,72,7,2009
Round of 32,Midwest,2,Michigan State,74,10,Southern California,69,5,2009
Round of 32,Midwest,3,Kansas,60,11,Dayton,43,17,2009
Round of 32,Midwest,12,Arizona,71,13,Cleveland State,57,14,2009
Round of 32,South,3,Syracuse,78,6,Arizona State,67,11,2009
Round of 32,West,3,Missouri,83,6,Marquette,79,4,2009
Sweet Sixteen,East,1,Pittsburgh,60,4,"Xavier, Ohio",55,5,2009
Sweet Sixteen,East,3,Villanova,77,2,Duke,54,23,2009
Sweet Sixteen,West,1,Connecticut,72,5,Purdue,60,12,2009
Sweet Sixteen,West,3,Missouri,102,2,Memphis,91,11,2009
Sweet Sixteen,Midwest,1,Louisville,103,12,Arizona,64,39,2009
Sweet Sixteen,Midwest,2,Michigan State,67,3,Kansas,62,5,2009
Sweet Sixteen,South,1,North Carolina,98,4,Gonzaga,77,21,2009
Sweet Sixteen,South,2,Oklahoma,84,3,Syracuse,71,13,2009
Elite Eight,East,3,Villanova,78,1,Pittsburgh,76,2,2009
Elite Eight,West,1,Connecticut,82,3,Missouri,75,7,2009
Elite Eight,Midwest,2,Michigan State,64,1,Louisville,52,12,2009
Elite Eight,South,1,North Carolina,72,2,Oklahoma,60,12,2009
National Semifinals,National Semifinals,1,North Carolina,83,3,Villanova,69,14,2009
National Semifinals,National Semifinals,2,Michigan State,82,1,Connecticut,73,9,2009
National Championship,National Championship,1,North Carolina,89,2,Michigan State,72,17,2009
Opening Round,South,16,Arkansas-Pine Bluff,61,16,Winthrop,44,17,2010
Round of 64,East,1,Kentucky,100,16,East Tennessee State,71,29,2010
Round of 64,East,3,New Mexico,62,14,Montana,57,5,2010
Round of 64,East,9,Wake Forest,81,8,Texas,80,1,2010
Round of 64,East,11,Washington,80,6,Marquette,78,2,2010
Round of 64,Midwest,1,Kansas,90,16,Lehigh,74,16,2010
Round of 64,Midwest,6,Tennessee,62,11,San Diego State,59,3,2010
Round of 64,Midwest,9,Northern Iowa,69,8,Nevada-Las Vegas,66,3,2010
Round of 64,Midwest,14,Ohio,97,3,Georgetown,83,14,2010
Round of 64,South,2,Villanova,73,15,Robert Morris,70,3,2010
Round of 64,South,3,Baylor,68,14,Sam Houston State,59,9,2010
Round of 64,South,10,"St. Mary's, California",80,7,Richmond,71,9,2010
Round of 64,South,11,Old Dominion,51,6,Notre Dame,50,1,2010
Round of 64,West,2,Kansas State,82,15,North Texas,62,20,2010
Round of 64,West,5,Butler,77,12,Texas-El Paso,59,18,2010
Round of 64,West,7,Brigham Young,99,10,Florida,92,7,2010
Round of 64,West,13,Murray State,66,4,Vanderbilt,65,1,2010
Round of 64,East,2,West Virginia,77,15,Morgan State,50,27,2010
Round of 64,East,4,Wisconsin,53,13,Wofford,49,4,2010
Round of 64,East,10,Missouri,86,7,Clemson,78,8,2010
Round of 64,East,12,Cornell,78,5,Temple,65,13,2010
Round of 64,Midwest,2,Ohio State,68,15,California-Santa Barbara,51,17,2010
Round of 64,Midwest,4,Maryland,89,13,Houston,77,12,2010
Round of 64,Midwest,5,Michigan State,70,12,New Mexico State,67,3,2010
Round of 64,Midwest,10,Georgia Tech,64,7,Oklahoma State,59,5,2010
Round of 64,South,1,Duke,73,16,Arkansas-Pine Bluff,44,29,2010
Round of 64,South,4,Purdue,72,13,Siena,64,8,2010
Round of 64,South,5,Texas A&M,69,12,Utah State,53,16,2010
Round of 64,South,8,California,77,9,Louisville,62,15,2010
Round of 64,West,1,Syracuse,79,16,Vermont,56,23,2010
Round of 64,West,3,Pittsburgh,89,14,Oakland,66,23,2010
Round of 64,West,6,"Xavier, Ohio",65,11,Minnesota,54,11,2010
Round of 64,West,8,Gonzaga,67,9,Florida State,60,7,2010
Round of 32,East,1,Kentucky,90,9,Wake Forest,60,30,2010
Round of 32,East,11,Washington,82,3,New Mexico,64,18,2010
Round of 32,Midwest,6,Tennessee,83,14,Ohio,68,15,2010
Round of 32,Midwest,9,Northern Iowa,69,1,Kansas,67,2,2010
Round of 32,South,3,Baylor,76,11,Old Dominion,68,8,2010
Round of 32,South,10,"St. Mary's, California",75,2,Villanova,68,7,2010
Round of 32,West,2,Kansas State,84,7,Brigham Young,72,12,2010
Round of 32,West,5,Butler,54,13,Murray State,52,2,2010
Round of 32,East,2,West Virginia,68,10,Missouri,59,9,2010
Round of 32,East,12,Cornell,87,4,Wisconsin,69,18,2010
Round of 32,Midwest,2,Ohio State,75,10,Georgia Tech,66,9,2010
Round of 32,Midwest,5,Michigan State,85,4,Maryland,83,2,2010
Round of 32,South,1,Duke,68,8,California,53,15,2010
Round of 32,South,4,Purdue,63,5,Texas A&M,61,2,2010
Round of 32,West,1,Syracuse,87,8,Gonzaga,65,22,2010
Round of 32,West,6,"Xavier, Ohio",71,3,Pittsburgh,68,3,2010
Sweet Sixteen,East,1,Kentucky,62,12,Cornell,45,17,2010
Sweet Sixteen,East,2,West Virginia,69,11,Washington,56,13,2010
Sweet Sixteen,West,2,Kansas State,101,6,"Xavier, Ohio",96,5,2010
Sweet Sixteen,West,5,Butler,63,1,Syracuse,59,4,2010
Sweet Sixteen,Midwest,5,Michigan State,59,9,Northern Iowa,52,7,2010
Sweet Sixteen,Midwest,6,Tennessee,76,2,Ohio State,73,3,2010
Sweet Sixteen,South,1,Duke,70,4,Purdue,57,13,2010
Sweet Sixteen,South,3,Baylor,72,10,"St. Mary's, California",49,23,2010
Elite Eight,East,2,West Virginia,73,1,Kentucky,66,7,2010
Elite Eight,West,5,Butler,63,2,Kansas State,56,7,2010
Elite Eight,Midwest,5,Michigan State,70,6,Tennessee,69,1,2010
Elite Eight,South,1,Duke,78,3,Baylor,71,7,2010
National Semifinals,National Semifinals,1,Duke,78,2,West Virginia,57,21,2010
National Semifinals,National Semifinals,5,Butler,52,5,Michigan State,50,2,2010
National Championship,National Championship,1,Duke,61,5,Butler,59,2,2010
Opening Round,East,12,Clemson,70,12,UAB,52,18,2011
Opening Round,Southeast,16,North Carolina-Asheville,81,16,Arkansas-Little Rock,77,4,2011
Opening Round,East,16,Texas-San Antonio,70,16,Alabama State,61,9,2011
Opening Round,Southwest,11,Virginia Commonwealth,59,11,Southern California,46,13,2011
Round of 64,East,4,Kentucky,59,13,Princeton,57,2,2011
Round of 64,East,5,West Virginia,84,12,Clemson,76,8,2011
Round of 64,Southeast,1,Pittsburgh,74,16,North Carolina-Asheville,51,23,2011
Round of 64,Southeast,2,Florida,79,15,California-Santa Barbara,51,28,2011
Round of 64,Southeast,3,Brigham Young,74,14,Wofford,66,8,2011
Round of 64,Southeast,4,Wisconsin,72,13,Belmont,58,14,2011
Round of 64,Southeast,5,Kansas State,73,12,Utah State,68,5,2011
Round of 64,Southeast,7,UCLA,78,10,Michigan State,76,2,2011
Round of 64,Southeast,8,Butler,60,9,Old Dominion,58,2,2011
Round of 64,Southeast,11,Gonzaga,86,6,"St. John's, New York",71,15,2011
Round of 64,Southwest,12,Richmond,69,5,Vanderbilt,66,3,2011
Round of 64,Southwest,13,Morehead State,62,4,Louisville,61,1,2011
Round of 64,West,2,San Diego State,68,15,Northern Colorado,50,18,2011
Round of 64,West,3,Connecticut,81,14,Bucknell,52,29,2011
Round of 64,West,6,Cincinnati,78,11,Missouri,63,15,2011
Round of 64,West,7,Temple,66,10,Pennsylvania State,64,2,2011
Round of 64,East,1,Ohio State,75,16,Texas-San Antonio,46,29,2011
Round of 64,East,2,North Carolina,102,15,Long Island-Brooklyn,87,15,2011
Round of 64,East,3,Syracuse,77,14,Indiana State,60,17,2011
Round of 64,East,7,Washington,68,10,Georgia,65,3,2011
Round of 64,East,8,George Mason,61,9,Villanova,57,4,2011
Round of 64,East,11,Marquette,66,6,"Xavier, Ohio",55,11,2011
Round of 64,Southwest,1,Kansas,72,16,Boston,53,19,2011
Round of 64,Southwest,2,Notre Dame,69,15,Akron,56,13,2011
Round of 64,Southwest,3,Purdue,65,14,St. Peter's,43,22,2011
Round of 64,Southwest,9,Illinois,73,8,Nevada-Las Vegas,62,11,2011
Round of 64,Southwest,10,Florida State,57,7,Texas A&M,50,7,2011
Round of 64,Southwest,11,Virginia Commonwealth,74,6,Georgetown,56,18,2011
